-1/15:{* <32, 8>^^2 *}
-1139466686381936641/17587891077120:{* <32, 8>^^2 *}
-13123858413236228917847770385659606286401/20767600023946451721766482684226058876:{* <25, 10> *}
-1376562883316985524655287925404037121/1193272631368179777536:{* <25, 5>^^2 *}
-12757618324042173549858425461682176/1823806051450564693130128615083:{* <25, 10> *}
-1415127831921321522248426938217281/3666855487972497940063476562500:{* <32, 16>^^2 *}
-140625/8:{* <21, 3>^^2 *}
-162677523113838677:{* <37, 18> *}
-19328649688935739391016961/18446462598732840960:{* <32, 16>^^2 *}
-19465109/22:{* <25, 10> *}
-18975420587737213095292649/255881160051786:{* <25, 10> *}
-225741686871429146260559062081/146211902909299839467520000:{* <16, 2>^^4 *}
-24680042791780949/369098752:{* <25, 5>^^2 *}
-2926956820564562516641/35459588343029760000:{* <16, 2>^^4 *}
-279328676638409/15200157696:{* <25, 10> *}
-324503698618794407582644992737281/19342794667089993085747200:{* <32, 8>^^2 *}
-326573981641149886485204481/194520794324722008975:{* <32, 8>^^2 *}
-1638541430081273024/26265946892733:{* <25, 10> *}
-353498371667659682101/113715890591105024:{* <25, 10> *}
-3545733621855029067330337757367361/9094574488699436187744140625:{* <32, 8>^^2 *}
-3552277140342294754589991537894721/568432733416557312011718750:{* <32, 16>^^2 *}
-36703062611518813711084873444252734518401/397925291030084608863799302120300:{* <32, 16>^^2 *}
-4033422215926741/404:{* <25, 10> *}
-4096/11:{* <25, 5>^^2 *}
-488162845931504468669161001/502:{* <25, 10> *}
-49019660417634625566551535616/52295500263431403:{* <25, 5>^^2 *}
-5107501047547200669121/186932676651373720080:{* <32, 16>^^2 *}
-52893159101157376/11:{* <25, 10> *}
-56667352321/16711680:{* <32, 16>^^2 *}
-60627540058019895893705412918183361/10979320318525440000000000000000:{* <16, 2>^^4 *}
-60698457/40960:{* <13, 2>^^3 *}
-617298465273089376571121350031405627538001/165066:{* <25, 10> *}
-70809965983288820433601/12128017136035299345:{* <32, 8>^^2 *}
-79184385609230668294081/759738277429254810:{* <32, 16>^^2 *}
-882216989/131072:{* <17, 4>^^2 *}
-460815199424/93:{* <25, 10> *}
-9317:{* <37, 6>^^3 *}
1023887723039/928972800:{* <16, 2>^^4 *}
1139466686381936641/4080:{* <32, 16>^^2 *}
1144081181272479239133643526834383042983361/757051842880264964991840000:{* <16, 2>^^4 *}
115099000398621243971890559/78239096930039062500000000:{* <16, 2>^^4 *}
1259954716599707317761635279/782145653991396014555136:{* <25, 5>^^2 *}
128394017933147245660796166417119/493274390082338961058364010000:{* <16, 2>^^4 *}
13087181362848921857775657601/10116926999101440000:{* <16, 2>^^4 *}
13527956825588849127121/25701087819771000:{* <24, 4>^^2 *}
13619385906841/6048000:{* <24, 4>^^2 *}
13831657260716704136482954281709863361/17374959614531090376562500:{* <32, 16>^^2 *}
14551803469961881301880007324200000001/9536718750:{* <32, 16>^^2 *}
150336917982741967163778998756395764357350401/2077057800300:{* <32, 16>^^2 *}
1542085860252894509103949/6408896512:{* <25, 10> *}
164711681450297281/8097103872000:{* <24, 4>^^2 *}
1663986362115498724215359/108912513076663261593600:{* <32, 16>^^2 *}
1663986362115498724215359/1169329859973065744640:{* <32, 8>^^2 *}
16778985534208729/81000:{* <24, 4>^^2 *}
178296503348692983836197044001/1342:{* <25, 10> *}
1815401516599/8422162432:{* <25, 10> *}
190705121216/71:{* <25, 10> *}
19328649688935739391016961/1048320:{* <32, 8>^^2 *}
20250020461466473637047669654178374039681/501531896655344498219343780249600:{* <32, 8>^^2 *}
2119184381004022710620128465357091164489/26664780077208000:{* <24, 4>^^2 *}
2366200373628880151/2612420149248000:{* <24, 4>^^2 *}
236979190359324065638429091444161/447618521651352874905600:{* <32, 16>^^2 *}
